family,n,m,n_plus_m,elapsed_seconds,us_per_np1m
regular4,1000,2000,3000,0.030564,10.1879
regular4,2000,4000,6000,0.066878,11.1464
regular4,4000,8000,12000,0.152353,12.6961
regular4,8000,16000,24000,0.352887,14.7036
regular4,16000,32000,48000,0.762008,15.8752
regular4,32000,64000,96000,1.719892,17.9155
regular4,64000,128000,192000,4.549676,23.6962
regular4,128000,256000,384000,9.915595,25.8219
barabasi_albert3,1000,2991,3991,0.034810,8.7220
barabasi_albert3,2000,5991,7991,0.070453,8.8165
barabasi_albert3,4000,11991,15991,0.202825,12.6837
barabasi_albert3,8000,23991,31991,0.414152,12.9459
barabasi_albert3,16000,47991,63991,0.929818,14.5305
barabasi_albert3,32000,95991,127991,2.587198,20.2139
barabasi_albert3,64000,191991,255991,5.708381,22.2991
barabasi_albert3,128000,383991,511991,12.534677,24.4822

family,slope_seconds_per_np1m,intercept_seconds,r2,n_points
regular4,2.604576158441986e-05,-0.2968943515098297,0.9944989329135941,8
barabasi_albert3,2.469802717159306e-05,-0.33848714463327356,0.9968437925948362,8
