family,instances,min_best_ratio,mean_best_ratio,median_best_ratio,max_best_ratio,count_best_above_sqrt2,worst_name,worst_n,worst_m,worst_opt
atlas,1245,1,1.003145917,1,1.33333333333,0,atlas_143,6,8,3
barbells,7,1,1,1,1,0,barbell_2_1,5,4,2
complete,21,1,1,1,1,0,complete_2,2,1,1
complete_bipartite,144,1,1,1,1,0,complete_bipartite_1_1,2,1,1
cycles,30,1,1,1,1,0,cycle_3,3,3,2
erdos_renyi,696,1,1.00845890221,1,1.33333333333,0,gnp_n13_p0.08_seed3397056086,13,8,3
grids,20,1,1,1,1,0,grid_2x2,4,4,2
paths,31,1,1,1,1,0,path_2,2,1,1
regular_hard,10,1,1.01428571429,1,1.14285714286,0,regular_d4_n12,12,24,7
stars,39,1,1,1,1,0,star_2,3,2,1
wheels,21,1,1,1,1,0,wheel_4,4,6,3
OVERALL,2264,1,1.00439351579,1,1.33333333333,0,atlas_143,6,8,3
