family,instances,min_ratio,mean_ratio,median_ratio,max_ratio,empirical_epsilon_from_2,count_above_sqrt2,count_above_7_4,best_name,best_n,best_m,best_opt,best_salvador_size
barbells,7,1,1,1,1,1,0,0,barbell_2_1,5,4,2,2
chatgpt_stress_witness,1,1.66666666667,1.66666666667,1.66666666667,1.66666666667,0.333333333333,1,0,chatgpt_ratio_5_3_witness,8,11,3,5
complete,21,1,1,1,1,1,0,0,complete_2,2,1,1,1
complete_bipartite,144,1,1,1,1,1,0,0,complete_bipartite_1_1,2,1,1,1
cycles,30,1,1,1,1,1,0,0,cycle_3,3,3,2,2
edge_flip_adversarial,56,1.14285714286,1.28784013605,1.25,1.5,0.5,8,0,edgeflip_n8_restart4_step160,8,14,4,6
erdos_renyi,700,1,1.01915060336,1,1.5,0.5,1,0,gnp_n8_p0.15_seed3055318802,8,6,2,3
grids,20,1,1.10305555556,1.12222222222,1.25,0.75,0,0,grid_2x4,8,10,4,5
paths,31,1,1,1,1,1,0,0,path_2,2,1,1,1
stars,39,1,1,1,1,1,0,0,star_2,3,2,1,1
wheels,21,1,1,1,1,1,0,0,wheel_4,4,6,3,3
exhaustive_n2,1,,,,1,1,0,0,exhaustive_n2_mask1,2,1,1,1
exhaustive_n3,7,,,,1,1,0,0,exhaustive_n3_mask1,3,1,1,1
exhaustive_n4,63,,,,1,1,0,0,exhaustive_n4_mask1,4,1,1,1
exhaustive_n5,1023,,,,1.5,0.5,20,0,exhaustive_n5_mask171,5,5,2,3
exhaustive_n6,32767,,,,1.5,0.5,180,0,exhaustive_n6_mask587,6,5,2,3
OVERALL,1075,1,1.03093232349,1,1.66666666667,0.333333333333,12,0,chatgpt_ratio_5_3_witness,8,11,3,5
